ISO3,CTSCode,Year,Measurements
TUN,ECCS,1961,0.248
TCA,ECCS,1961,-0.08
TUV,ECCS,1961,-0.06
UGA,ECCS,1961,-0.015
ARE,ECCS,1961,-0.288
GBR,ECCS,1961,0.496
USA,ECCS,1961,0.005
VIR,ECCS,1961,-0.072
URY,ECCS,1961,0.411
VUT,ECCS,1961,0.179
VEN,ECCS,1961,0.023
VNM,ECCS,1961,0.038
WLF,ECCS,1961,0.329
PSE,ECCS,1961,-0.109
ESH,ECCS,1961,0.633
YEM,ECCS,1961,0.061
ZMB,ECCS,1961,0.237
ZWE,ECCS,1961,0.253
AFG,ECCS,1962,-0.143
ALB,ECCS,1962,0.351
DZA,ECCS,1962,0.105
ASM,ECCS,1962,-0.047
AND,ECCS,1962,0.109
AGO,ECCS,1962,-0.159
AIA,ECCS,1962,-0.046
ATG,ECCS,1962,-0.025
ARG,ECCS,1962,-0.046
ABW,ECCS,1962,-0.046
AUS,ECCS,1962,0.132
AUT,ECCS,1962,-0.626
BHS,ECCS,1962,-0.152
BHR,ECCS,1962,0.369
BGD,ECCS,1962,-0.31
BRB,ECCS,1962,0.138
BLZ,ECCS,1962,-0.176
BEN,ECCS,1962,-0.284
BTN,ECCS,1962,-0.361
BOL,ECCS,1962,-0.054
BWA,ECCS,1962,0.206
BRA,ECCS,1962,-0.184
VGB,ECCS,1962,-0.067
BRN,ECCS,1962,-0.049
BGR,ECCS,1962,0.467
BFA,ECCS,1962,-0.24
BDI,ECCS,1962,-0.463
CPV,ECCS,1962,0.275
KHM,ECCS,1962,-0.114
CMR,ECCS,1962,-0.212
CAN,ECCS,1962,-0.12
CYM,ECCS,1962,-0.391
CAF,ECCS,1962,-0.327
TCD,ECCS,1962,-0.266
CHL,ECCS,1962,0.27
HKG,ECCS,1962,-0.066
MAC,ECCS,1962,-0.066
CHN,ECCS,1962,-0.146
COL,ECCS,1962,-0.16
COM,ECCS,1962,0.023
COD,ECCS,1962,-0.167
COG,ECCS,1962,-0.036
COK,ECCS,1962,-0.091
CRI,ECCS,1962,-0.108
CUB,ECCS,1962,-0.073
CYP,ECCS,1962,0.8
DNK,ECCS,1962,-0.646
DJI,ECCS,1962,-0.175
DMA,ECCS,1962,-0.025
DOM,ECCS,1962,-0.025
ECU,ECCS,1962,-0.179
EGY,ECCS,1962,0.67
SLV,ECCS,1962,-0.161
GNQ,ECCS,1962,-0.047
SWZ,ECCS,1962,0.451
FLK,ECCS,1962,0.401
FRO,ECCS,1962,-0.479
FJI,ECCS,1962,-0.065
FIN,ECCS,1962,-0.329
FRA,ECCS,1962,-0.297
PYF,ECCS,1962,-0.169
GAB,ECCS,1962,-0.036
GMB,ECCS,1962,-0.046
DEU,ECCS,1962,-0.749
GHA,ECCS,1962,-0.17
GIB,ECCS,1962,0.553
GRC,ECCS,1962,0.61
GRL,ECCS,1962,0.925
GRD,ECCS,1962,-0.252
GLP,ECCS,1962,-0.035
GTM,ECCS,1962,-0.129
GUF,ECCS,1962,-0.083
GIN,ECCS,1962,-0.135
GNB,ECCS,1962,-0.076
GUY,ECCS,1962,-0.082
HTI,ECCS,1962,-0.018
VAT,ECCS,1962,0.078
HND,ECCS,1962,-0.132
HUN,ECCS,1962,-0.414
ISL,ECCS,1962,-0.217
IND,ECCS,1962,-0.474
IDN,ECCS,1962,0.016
IRN,ECCS,1962,0.235
IRQ,ECCS,1962,0.919
IRL,ECCS,1962,-0.687
IMN,ECCS,1962,-0.749
ISR,ECCS,1962,0.81
ITA,ECCS,1962,0.039
JAM,ECCS,1962,-0.05
JPN,ECCS,1962,0.123
JOR,ECCS,1962,0.99
KEN,ECCS,1962,-0.234
KIR,ECCS,1962,-0.111
PRK,ECCS,1962,-0.053
KOR,ECCS,1962,-0.091
KWT,ECCS,1962,0.833
LAO,ECCS,1962,-0.221
LBN,ECCS,1962,0.84
LSO,ECCS,1962,0.267
LBR,ECCS,1962,-0.11
LBY,ECCS,1962,0.224
LIE,ECCS,1962,-0.487
MDG,ECCS,1962,-0.069
MWI,ECCS,1962,-0.132
MYS,ECCS,1962,-0.071
MDV,ECCS,1962,-0.038
MLI,ECCS,1962,-0.147
MLT,ECCS,1962,0.377
MTQ,ECCS,1962,0.007
MRT,ECCS,1962,0.173
MUS,ECCS,1962,-0.016
MYT,ECCS,1962,0.026
MEX,ECCS,1962,0.183
MCO,ECCS,1962,-0.007
MNG,ECCS,1962,-0.125
MSR,ECCS,1962,-0.025
MAR,ECCS,1962,0.555
MOZ,ECCS,1962,0.076
MMR,ECCS,1962,-0.115
NPL,ECCS,1962,-0.492
NLD,ECCS,1962,-0.905
NCL,ECCS,1962,0.132
NZL,ECCS,1962,0.584
NIC,ECCS,1962,-0.086
NER,ECCS,1962,-0.146
NGA,ECCS,1962,-0.267
NIU,ECCS,1962,-0.363
NFK,ECCS,1962,0.396
NOR,ECCS,1962,-0.77
OMN,ECCS,1962,0.289
PAK,ECCS,1962,-0.215
PNG,ECCS,1962,0.22
PRY,ECCS,1962,-0.639
PER,ECCS,1962,-0.147
PHL,ECCS,1962,-0.107
PCN,ECCS,1962,0.112
POL,ECCS,1962,-0.516
PRT,ECCS,1962,0.539
PRI,ECCS,1962,-0.136
QAT,ECCS,1962,0.418
ROU,ECCS,1962,0.174
RWA,ECCS,1962,-0.34
SPM,ECCS,1962,-0.131
WSM,ECCS,1962,-0.02
SMR,ECCS,1962,-0.124
STP,ECCS,1962,-0.03
SAU,ECCS,1962,0.674
SEN,ECCS,1962,-0.01
SYC,ECCS,1962,0.064
SLE,ECCS,1962,-0.078
SLB,ECCS,1962,0.089
SOM,ECCS,1962,-0.021
ZAF,ECCS,1962,0.218
ESP,ECCS,1962,0.429
LKA,ECCS,1962,-0.078
KNA,ECCS,1962,-0.025
LCA,ECCS,1962,-0.067
VCT,ECCS,1962,-0.256
SUR,ECCS,1962,-0.098
SJM,ECCS,1962,-1.364
SWE,ECCS,1962,-0.687
CHE,ECCS,1962,-0.353
SYR,ECCS,1962,0.992
TWN,ECCS,1962,-0.178
TZA,ECCS,1962,-0.252
THA,ECCS,1962,-0.148
TLS,ECCS,1962,0.011
TGO,ECCS,1962,-0.206
TKL,ECCS,1962,0.084
TON,ECCS,1962,-0.199
TTO,ECCS,1962,-0.115
TUN,ECCS,1962,0.168
TCA,ECCS,1962,-0.226
TUV,ECCS,1962,0.097
UGA,ECCS,1962,-0.288
ARE,ECCS,1962,0.408
GBR,ECCS,1962,-0.73
USA,ECCS,1962,-0.025
VIR,ECCS,1962,-0.08
URY,ECCS,1962,-0.456
VUT,ECCS,1962,0.101
VEN,ECCS,1962,-0.18
VNM,ECCS,1962,-0.215
WLF,ECCS,1962,-0.045
PSE,ECCS,1962,0.803
ESH,ECCS,1962,0.572
YEM,ECCS,1962,0.018
ZMB,ECCS,1962,-0.149
ZWE,ECCS,1962,0.222
AFG,ECCS,1963,0.848
ALB,ECCS,1963,0.089
DZA,ECCS,1963,0.072
ASM,ECCS,1963,0.161
AND,ECCS,1963,-0.759
AGO,ECCS,1963,-0.195
AIA,ECCS,1963,0.192
ATG,ECCS,1963,0.228
ARG,ECCS,1963,0.163
ABW,ECCS,1963,-0.132
AUS,ECCS,1963,-0.091
AUT,ECCS,1963,-0.729
BHS,ECCS,1963,-0.173
BHR,ECCS,1963,0.616
BGD,ECCS,1963,-0.12
BRB,ECCS,1963,0.264
BLZ,ECCS,1963,-0.109
BEN,ECCS,1963,0.094
BTN,ECCS,1963,-0.277
BOL,ECCS,1963,0.357
BWA,ECCS,1963,-0.505
BRA,ECCS,1963,0.165
VGB,ECCS,1963,0.155
BRN,ECCS,1963,-0.229
BGR,ECCS,1963,-0.264
BFA,ECCS,1963,0.126
BDI,ECCS,1963,-0.228
CPV,ECCS,1963,0.525
KHM,ECCS,1963,-0.285
CMR,ECCS,1963,0.14
CAN,ECCS,1963,0.335
CYM,ECCS,1963,-0.248
CAF,ECCS,1963,0.01
TCD,ECCS,1963,0.297
CHL,ECCS,1963,0.108
HKG,ECCS,1963,0.315
MAC,ECCS,1963,0.315
CHN,ECCS,1963,0.287
COL,ECCS,1963,-0.037
COM,ECCS,1963,-0.226
COD,ECCS,1963,-0.053
COG,ECCS,1963,0.13
COK,ECCS,1963,-0.129
CRI,ECCS,1963,-0.024
CUB,ECCS,1963,-0.176
CYP,ECCS,1963,0.742
DNK,ECCS,1963,-1.023
DJI,ECCS,1963,0.087
DMA,ECCS,1963,0.229
DOM,ECCS,1963,0.036
ECU,ECCS,1963,-0.009
EGY,ECCS,1963,0.644
SLV,ECCS,1963,-0.158
GNQ,ECCS,1963,0.248
SWZ,ECCS,1963,-0.194
FLK,ECCS,1963,-0.286
FRO,ECCS,1963,-0.055
FJI,ECCS,1963,-0.028
FIN,ECCS,1963,-0.396
FRA,ECCS,1963,-0.949
PYF,ECCS,1963,-0.085
GAB,ECCS,1963,0.26
GMB,ECCS,1963,0.123
DEU,ECCS,1963,-1.084
GHA,ECCS,1963,0.12
GIB,ECCS,1963,0.009
GRC,ECCS,1963,0.296
GRL,ECCS,1963,0.483
GRD,ECCS,1963,0.445
GLP,ECCS,1963,0.21
GTM,ECCS,1963,-0.104
GUF,ECCS,1963,-0.071
GIN,ECCS,1963,0.163
GNB,ECCS,1963,0.146
GUY,ECCS,1963,-0.199
HTI,ECCS,1963,-0.046
VAT,ECCS,1963,-0.145
HND,ECCS,1963,-0.211
HUN,ECCS,1963,-0.457
ISL,ECCS,1963,0.009
IND,ECCS,1963,-0.019
IDN,ECCS,1963,-0.105
IRN,ECCS,1963,0.74
IRQ,ECCS,1963,0.477
IRL,ECCS,1963,-0.773
IMN,ECCS,1963,-0.825
ISR,ECCS,1963,0.832
ITA,ECCS,1963,-0.354
JAM,ECCS,1963,-0.12
JPN,ECCS,1963,-0.056
JOR,ECCS,1963,0.789
KEN,ECCS,1963,-0.203
KIR,ECCS,1963,-0.057
PRK,ECCS,1963,-0.103
KOR,ECCS,1963,-0.478
KWT,ECCS,1963,0.511
LAO,ECCS,1963,-0.375
LBN,ECCS,1963,0.784
LSO,ECCS,1963,0.019
LBR,ECCS,1963,0.118
LBY,ECCS,1963,0.271
LIE,ECCS,1963,-0.778
